TalentID,YandexID,user_id_wave1,user_id_wave2
628798,1113913856,120409393,121369259
598101,1478043926,120554873,None
475850,1797472283,120553836,None
239499,1430993430,120504042,121373410
634729,1480259531,120377892,None
246331,1480606546,120561614,None
441667,1896931430,120326160,121403262
591393,1652804804,120334259,None
599181,1148936651,120479158,None
243610,1370035057,120459941,None
611922,1479471348,120553938,None
491331,988508248,120547197,None
608629,1621012638,120515782,None
597490,1756355642,120462704,None
628285,1767826575,120363399,None
626891,1892993380,120383445,None
190244,206279088,120551778,121369933
420255,1645787657,120506863,121447745
624189,1867296033,120546705,None
633307,885728471,120469431,None
593114,602542858,120522853,None
302226,2027665367,120555249,None
608833,1882447261,120370373,None
604391,1044836054,120502651,None
611526,1544331257,120541118,None
620672,1896225197,120504272,None
265799,1679512503,120542860,121404425
253992,643128460,120504845,None
628192,2027717222,120403530,None
40299,815215568,120517090,None
622128,1276453934,120549648,121366721
639217,2029888305,120453327,None
641939,1985135865,120493770,None
410811,805796853,120554764,None
246188,777072730,120542084,None
598013,1188322999,120479752,None
588797,2026270655,120400647,None
645875,1911010425,120473177,None
613588,1884618948,120360824,None
244309,1514620802,120349277,None
598824,1744821107,120530963,None
592836,1142003824,120469570,121445313
613326,1019176084,120541780,121383001
601077,1411663203,120552602,None
492540,894671202,120551260,None
288745,1021222540,120557911,None
430155,926804703,120502648,None
601035,1473028593,120513760,None
185286,2022000122,120554518,None
241982,966699647,120551646,121420962
192880,1130000061384365,120395902,None
507494,1460742751,120412499,None
628201,2020450857,120502070,None
600439,1736859786,120559974,None
529352,1987729114,120511233,None
643341,2030324272,120545319,None
270415,1821590234,120525854,None
489388,1458184671,120516734,None
384013,1486801911,120542855,None
598045,297920875,120506879,None
599442,1089364958,120523673,None
504160,880596335,120528766,None
626888,1943456790,120429473,None
518851,978669086,120546489,None
516090,1714122316,120557938,None
253439,930973835,120541157,None
378272,750827736,120561985,None
598052,1450008254,120548253,121441068
582469,476065471,120428278,None
616833,1007225145,120562631,None
646318,1927991584,120561904,None
539147,714668391,120484068,None
126107,787512071,120560099,None
599620,1867944005,120502409,None
248085,1681858844,120542595,None
648886,1969606568,120557982,None
253940,2030144718,120521419,121446832
374650,1037413379,120326556,None
255827,1682237450,120542857,None
144099,1954221402,120555314,None
153634,787844025,120561634,None
533697,1897553812,120535071,None
633924,1059911650,120559574,None
593026,1739447559,120490995,121438807
627463,1961137195,120513433,None
611498,1951073696,120540134,121418228
602788,2023180201,120527458,121424565
644582,904147220,120460267,None
636758,1773845612,120454535,None
143603,1150116060,120540691,None
451443,538598021,120551964,None
611612,1780705229,120542865,None
616064,984206464,120533677,None
377545,1423828723,120512152,None
610449,1836272039,120374094,None
644986,1739234727,120456231,None
529418,1963132634,120506384,None
634580,1524005148,120501890,None
597717,1933195631,120547695,None
648401,1637378885,120559406,None
534136,1535621295,120551271,None
540616,1725694494,120548258,None
255835,1101612430,120558333,None
377367,1069553647,120551875,None
198335,1409353547,120552468,None
269096,1778413545,120553560,None
515611,683732181,120552990,None
505657,1282580913,120527149,None
485399,1730021293,120491026,None
601257,898958766,120536979,None
605427,1092646787,120555254,None
68736,2026076843,120326821,None
403857,528277378,120505600,None
612373,646500015,120396482,None
623714,686303997,120561216,None
265131,1615716117,120405409,None
194442,942267563,120366372,121402053
611728,2012758742,120543436,None
249968,1518503223,120534026,121399503
585264,1060720677,120553324,121371063
77511,427607180,120513728,121378964
391943,931088223,120468373,None
378140,1641709013,120555906,None
513748,2027414016,120557471,121402723
614307,1236236594,120462605,121427437
507520,546040077,120549901,121301365
316229,1048565642,120499422,None
645995,1554459047,120480324,121356790
628667,1180141639,120530280,None
388001,1573820754,120503772,121373468
484944,1475426004,120544632,None
610845,1982620770,120480988,None
423384,436843115,120453111,121334841
378298,1588044745,120529061,121323733
