task_id,user_id_1,user_id_2,submission_id_1,submission_id_2,overlap_percentage
E,nto-24-507-117330417,nto-24-502-117330412,109495861,109497114,70.2127659574468
E,nto-24-507-117330417,nto-24-502-117330412,109495861,109491560,75.0
E,nto-24-507-117330417,nto-24-502-117330412,109495861,109491739,75.0
E,nto-24-507-117330417,nto-24-375-117330284,109496129,109500005,70.06802721088435
E,nto-24-507-117330417,nto-24-525-117330435,109496129,109505567,76.92307692307693
E,nto-24-507-117330417,nto-24-525-117330435,109496129,109505677,80.8362369337979
E,nto-24-507-117330417,nto-24-502-117330412,109496129,109494604,70.03367003367003
E,nto-24-507-117330417,nto-24-502-117330412,109496129,109491560,73.4982332155477
E,nto-24-507-117330417,nto-24-502-117330412,109496129,109491739,72.79151943462897
E,nto-24-375-117330284,nto-24-525-117330435,109500005,109505567,70.09646302250803
E,nto-24-375-117330284,nto-24-525-117330435,109500005,109505677,70.23411371237458
E,nto-24-525-117330435,nto-24-502-117330412,109505677,109491560,70.83333333333334
E,nto-24-525-117330435,nto-24-502-117330412,109505677,109491739,70.13888888888889
E,nto-24-502-117330412,nto-24-519-117330429,109494604,109490105,70.98765432098766
E,nto-24-502-117330412,nto-24-519-117330429,109494604,109498595,71.25
C,nto-24-382-117330291,nto-24-441-117330350,109502723,109490723,79.12087912087912
C,nto-24-354-117330262,nto-24-462-117330371,109490072,109489005,77.05627705627705
C,nto-24-354-117330262,nto-24-462-117330371,109490072,109488926,77.05627705627705
C,nto-24-354-117330262,nto-24-364-117330273,109490072,109491357,70.33898305084746
C,nto-24-529-117330439,nto-24-427-117330336,109487447,109493534,70.04608294930875
C,nto-24-529-117330439,nto-24-427-117330336,109487447,109493380,71.88940092165899
C,nto-24-529-117330439,nto-24-427-117330336,109487447,109493866,70.04608294930875
C,nto-24-529-117330439,nto-24-519-117330429,109487447,109488694,70.94017094017094
C,nto-24-462-117330371,nto-24-430-117330339,109489005,109494943,72.47706422018348
C,nto-24-462-117330371,nto-24-430-117330339,109489005,109489051,72.47706422018348
C,nto-24-462-117330371,nto-24-430-117330339,109488926,109494943,72.47706422018348
C,nto-24-462-117330371,nto-24-430-117330339,109488926,109489051,72.47706422018348
C,nto-24-562-117330473,nto-24-534-117330444,109489131,109503740,71.8562874251497
C,nto-24-375-117330284,nto-24-519-117330429,109496084,109488694,73.22834645669292
C,nto-24-375-117330284,nto-24-519-117330429,109490414,109488694,73.22834645669292
D,nto-24-408-117330317,nto-24-445-117330354,109498723,109500401,70.05076142131979
D,nto-24-408-117330317,nto-24-445-117330354,109498723,109499697,73.68421052631578
D,nto-24-408-117330317,nto-24-441-117330350,109503013,109491842,70.37037037037037
D,nto-24-408-117330317,nto-24-445-117330354,109493240,109500401,77.4869109947644
